,yearstart,locationabbr,locationdesc,topic,question,datavalueunit,datavaluetype,datavalue,datavaluefootnote,stratificationcategory1,stratification1,geolocation
1,2019,GU,Guam,Arthritis,Arthritis among adults,%,Crude Prevalence,15.9,,Sex,Female,POINT (144.793731 13.444304)
3,2019,ME,Maine,Diabetes,Diabetes among adults,%,Crude Prevalence,11.4,,Sex,Male,POINT (-68.98503133599962 45.254228894000505)
6,2019,OK,Oklahoma,Arthritis,Arthritis among adults,%,Crude Prevalence,30.5,,Sex,Female,POINT (-97.52107021399968 35.47203135600046)
10,2020,AK,Alaska,Disability,Adults with any disability,%,Crude Prevalence,20.8,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
11,2020,DC,District of Columbia,Asthma,Current asthma among adults,%,Crude Prevalence,8.7,,Sex,Male,POINT (-77.036871 38.907192)
12,2020,GU,Guam,Asthma,Current asthma among adults,%,Crude Prevalence,3.1,,Sex,Male,POINT (144.793731 13.444304)
18,2020,US,United States,Asthma,Current asthma among adults,%,Crude Prevalence,7.3,,Sex,Male,
21,2020,VT,Vermont,Diabetes,Diabetes among adults,%,Crude Prevalence,9.3,,Sex,Male,POINT (-72.51764079099962 43.62538123900049)
22,2020,VI,Virgin Islands,Diabetes,Diabetes among adults,%,Crude Prevalence,12.0,,Sex,Male,POINT (-64.896335 18.335765)
23,2020,WA,Washington,Asthma,Current asthma among adults,%,Crude Prevalence,7.6,,Sex,Male,POINT (-120.47001078999972 47.52227862900048)
25,2021,AZ,Arizona,Mental Health,Depression among adults,%,Crude Prevalence,12.5,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
28,2021,LA,Louisiana,Arthritis,Arthritis among adults,%,Crude Prevalence,32.6,,Sex,Female,POINT (-92.44568007099969 31.31266064400046)
29,2021,MA,Massachusetts,Diabetes,Diabetes among adults,%,Crude Prevalence,9.2,,Sex,Male,POINT (-72.08269067499964 42.27687047000046)
30,2021,NJ,New Jersey,Arthritis,Arthritis among adults,%,Crude Prevalence,27.1,,Sex,Female,POINT (-74.27369128799967 40.13057004800049)
31,2021,OR,Oregon,Asthma,Current asthma among adults,%,Crude Prevalence,8.9,,Sex,Male,POINT (-120.15503132599969 44.56744942400047)
32,2022,AZ,Arizona,Arthritis,Arthritis among adults,%,Crude Prevalence,29.1,,Sex,Female,POINT (-111.76381127699972 34.865970280000454)
35,2022,KY,Kentucky,Diabetes,Diabetes among adults,%,Crude Prevalence,15.1,,Sex,Female,POINT (-84.77497104799966 37.645970271000465)
36,2022,KY,Kentucky,Mental Health,Depression among adults,%,Crude Prevalence,18.4,,Sex,Male,POINT (-84.77497104799966 37.645970271000465)
37,2022,MI,Michigan,Arthritis,Arthritis among adults,%,Crude Prevalence,24.9,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
38,2022,MN,Minnesota,Asthma,Current asthma among adults,%,Crude Prevalence,7.5,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
40,2022,WY,Wyoming,Asthma,Current asthma among adults,%,Crude Prevalence,12.4,,Sex,Female,POINT (-108.10983035299967 43.23554134300048)
3097,2019,AL,Alabama,Disability,Adults with any disability,%,Crude Prevalence,36.1,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
4404,2019,CA,California,Diabetes,Diabetes among adults,%,Crude Prevalence,9.7,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
13317,2019,AL,Alabama,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,17.3,,Sex,Female,POINT (-86.63186076199969 32.84057112200048)
13545,2019,AK,Alaska,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,27.1,,Sex,Male,POINT (-147.72205903599973 64.84507995700051)
13855,2019,AR,Arkansas,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,14.1,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
13870,2019,AR,Arkansas,Arthritis,Arthritis among adults,%,Crude Prevalence,36.9,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
13904,2019,AZ,Arizona,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,19.0,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
13935,2019,AK,Alaska,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,27.5,,Sex,Female,POINT (-147.72205903599973 64.84507995700051)
13955,2019,AZ,Arizona,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,69.1,,Sex,Male,POINT (-111.76381127699972 34.865970280000454)
14035,2019,AR,Arkansas,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,45.5,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
